rank,post_id,headline,p_false,band_precision,clip_consistency,source_community,actual_label,visual_gate
16,37xkvl,selfregard you are not special how to get from narcissism to thoughtfulness review of the road to character by david brooks,0.9985409,0.7117903930131004,0.22203624,usanews,true,0.48673418
17,544upv,students dig up an yearold native american clay pot what they found inside is changing history,0.99845713,0.7117903930131004,0.16782936,savedyouaclick,false,0.4777139
18,6j2k5k,when this abused pit bull pup realized who was adopting him his reaction was beyond words,0.99841356,0.7117903930131004,0.13467525,savedyouaclick,false,0.46850744
19,11bjin,new little rascals to start toddler and tiaras girl,0.99830264,0.7117903930131004,0.15187347,nottheonion,true,0.47170937
20,1kfrlj,stroke victim cannot feel sadness ever again,0.99819946,0.7117903930131004,0.19289574,nottheonion,true,0.4792297
21,8nk360,old mans neighbor blocks his driveway with cinder blocks so he teaches him a brutal lesson,0.99817926,0.7117903930131004,0.15005355,savedyouaclick,false,0.47146907
22,4s4uln,do you remember the boy who smokes cigarettes a day see what he looks like years later,0.9980812,0.7117903930131004,0.17132662,savedyouaclick,false,0.46572056
23,al3g1q,it cant be that steep right,0.9979463,0.7117903930131004,0.19611883,confusing_perspective,false,0.48094967
24,5owq2m,can lobsters really not die of old age,0.9979358,0.7117903930131004,0.2327716,savedyouaclick,false,0.4858961
25,4oveaq,if you see this in a public washroom leave immediately and call,0.99791974,0.7117903930131004,0.17911443,savedyouaclick,false,0.48039746
26,ax97nx,am i the only one who thought that was a bowling ball for a solid sec,0.9978649,0.7117903930131004,0.19529328,confusing_perspective,false,0.47852182
27,4oubwq,the more powerful playstation neo has a release date,0.997858,0.7117903930131004,0.13414437,savedyouaclick,false,0.47936475
28,2vopzl,state lawmaker scared of glowinthedark humanjellyfish creatures pushes bill to curb hybrid embryos,0.99782306,0.7117903930131004,0.18853332,nottheonion,true,0.47677493
29,4kpvk4,lad orders plain cheeseburger from macdonalds and it goes horribly wrongcheese and bun without patty,0.99767494,0.7117903930131004,0.09620813,savedyouaclick,false,0.46905708
30,b0iw9y,for important phone calls,0.9975648,0.7117903930131004,0.22879358,confusing_perspective,false,0.49491224
31,b7pr7x,who plays thanos and whats he most famous for,0.9975238,0.7117903930131004,0.15992193,savedyouaclick,false,0.47159693
32,123lma,video of obamas birth taking place in kenya leaked the post colonial flag and calendar verifies it facepalm of the day,0.99738306,0.7117903930131004,0.20705849,nottheonion,true,0.47551402
33,bpdhhr,how gucci is trying to recover from its blackface sweater controversy,0.99717045,0.7117903930131004,0.16852625,savedyouaclick,false,0.47594133
34,aunmzm,dont get a big head,0.99707955,0.7117903930131004,0.2725987,confusing_perspective,false,0.49466884
35,8xwhcp,mysterious footage shows merman being pulled from lake do mermans really exist,0.9970648,0.7117903930131004,0.15265709,savedyouaclick,false,0.47206438
36,51nh50,youll never believe how many lawyers are psychopaths,0.9969919,0.7117903930131004,0.26592195,savedyouaclick,false,0.4891913
37,5uql62,is pewdiepie a racist,0.9968843,0.7117903930131004,0.29002193,savedyouaclick,false,0.49945927
38,7ifvs4,the material that built the modern world is also destroying it heres a fix,0.99688005,0.7117903930131004,0.32518035,savedyouaclick,false,0.48806942
39,7boj9m,my waxed car vw scirocco,0.9968298,0.7117903930131004,0.18260759,confusing_perspective,false,0.4790331
40,6q5w3y,want to invest in spacex heres how,0.99679345,0.7117903930131004,0.2469616,savedyouaclick,false,0.48814312
41,6ei4y7,why kathy griffin has the right to grotesquely mock donald trump,0.9967305,0.7117903930131004,0.17485473,savedyouaclick,false,0.47105908
42,73hb5h,tim curry reveals what he feels about it being remade for the movies,0.9967056,0.7117903930131004,0.15217772,savedyouaclick,false,0.47279134
43,5dhgh4,atlanta man shot dead outside bar after joking that he voted for trump,0.9967039,0.7117903930131004,0.17957135,savedyouaclick,false,0.4715267
44,6yg5p4,game of thrones fan notices something odd in the way characters die,0.99666816,0.7117903930131004,0.17224446,savedyouaclick,false,0.47399104
45,2ldber,danny devito doesnt like one direction despite being in their video,0.99665475,0.7117903930131004,0.15293981,nottheonion,true,0.47290018
46,5f4nfl,you wont believe what grandparents are getting up to on the internet,0.9966347,0.7117903930131004,0.16367479,savedyouaclick,false,0.47492632
47,8csx6l,jon hamm just came clean about his condition and wants everyone else to do the same,0.996614,0.7117903930131004,0.14299086,savedyouaclick,false,0.4716034
48,4emwmr,fbi paid gray hats for zeroday exploit that unlocked seized iphone,0.9965808,0.7117903930131004,0.1886321,usanews,true,0.48000464
49,2r0y7h,four economists named goodman coauthored a paper about sharing the name goodman,0.9963171,0.7117903930131004,0.22184014,nottheonion,true,0.48737288
50,8a0wfz,there are currently no narwhals held in captivity there likely wont ever be for a bizarre reason,0.99619156,0.7117903930131004,0.19821694,savedyouaclick,false,0.4729601
51,5zd6zt,the nations favourite movie soundtrack has been revealed and its not what you expect,0.99612767,0.7117903930131004,0.192055,savedyouaclick,false,0.4791634
52,d7pgad,actors who almost died because of intense method acting,0.9961267,0.7117903930131004,0.21289489,savedyouaclick,false,0.48684096
53,13fbz4,man drinks himself to death while watching twilight,0.99609995,0.7117903930131004,0.18121195,nottheonion,true,0.47225484
54,15bccd,nonfiction graphic novel army of god about joseph kony declared a product of a terrorist organisation by us office of foreign assets control,0.99580497,0.7117903930131004,0.21679617,nottheonion,true,0.4795184
55,86mas2,why is a parkland student barefoot on the time magazine cover,0.9957841,0.7117903930131004,0.18547046,savedyouaclick,false,0.47250938
56,5zssso,the worlds most pressing unanswered question has finally been answered,0.9955816,0.7117903930131004,0.2506414,savedyouaclick,false,0.4880506
57,8ly4nc,paulo coelho playing the drums,0.9954572,0.7117903930131004,0.14280689,confusing_perspective,false,0.48589337
58,6l731l,this woman from canada thinks she is an alienhuman hybrid because of an inexplicable birth,0.99521023,0.7117903930131004,0.18980435,savedyouaclick,false,0.47627425
59,avbvr3,reflection,0.9952008,0.7117903930131004,0.2321918,confusing_perspective,false,0.48883358
60,cl88pi,can you believe the buffalo sabres gave these away once,0.9951566,0.7117903930131004,0.19091603,savedyouaclick,false,0.4735957
61,d9mwou,these are the two drinks you should never order on a plane,0.9949886,0.7117903930131004,0.16730721,savedyouaclick,false,0.46936536
62,7kpx0h,the one mcdonalds item you should never order according to an exemployee,0.99482137,0.7117903930131004,0.20188336,savedyouaclick,false,0.47864214
63,2mij3u,police say someone is shooting ears of corn at cars in carver,0.99474907,0.7117903930131004,0.17022341,nottheonion,true,0.47711805
64,b3lhgy,this hurts to watch,0.994705,0.7117903930131004,0.24076171,confusing_perspective,false,0.48722973
65,3lfcbg,chimps like movies starring people in ape suits,0.99464816,0.7117903930131004,0.13253672,nottheonion,true,0.477775
66,1c8ri8,doctors fight at terminally ill patients bedside over who gets his organs,0.9944369,0.7117903930131004,0.17829949,nottheonion,true,0.48135528
67,6xacjx,how the liveaction adaptation of aladdin might delay suicide squad,0.99443203,0.7117903930131004,0.32593098,savedyouaclick,false,0.48931804
68,4o8ynd,steven spielberg promises one big thing for indiana jones,0.99439937,0.7117903930131004,0.30624482,savedyouaclick,false,0.49297228
69,78vlmo,photographer groans internally when mins before closing he sees mom walk in but then he notices her daughter,0.99427205,0.7117903930131004,0.2538305,savedyouaclick,false,0.48562112
70,876egi,years ago today she was found alone at sea today she breaks her silence,0.994029,0.7117903930131004,0.28310943,savedyouaclick,false,0.4906975
71,2w1icp,donors wanted your bodily waste could be a big earner,0.9940038,0.7117903930131004,0.21380435,nottheonion,true,0.4751161
72,6n5pok,tom cruise announces wholly unsurprising name for top gun sequel,0.9939639,0.7117903930131004,0.1346049,savedyouaclick,false,0.4695144
73,5a6ain,why your daughters halloween costume is an insult to the mentally ill,0.9938569,0.7117903930131004,0.15127353,savedyouaclick,false,0.47068596
74,4rz371,too dangerous to talk some cities explore texting,0.99370456,0.7117903930131004,0.16507475,usanews,true,0.4713128
75,6xo54j,the glass wasnt strong enough,0.9936692,0.7117903930131004,0.23567219,savedyouaclick,false,0.49205527
76,53giy0,the secret iphone weaknesses apple doesnt want you to know,0.99366313,0.7117903930131004,0.2205238,savedyouaclick,false,0.4817343
77,57zruu,what happened when justin bieber came to my pub,0.9936034,0.7117903930131004,0.16369373,savedyouaclick,false,0.4691852
78,cnlj7l,absolutely definitely undoubtedly a ufo,0.9935381,0.7117903930131004,0.307026,confusing_perspective,false,0.49014762
79,c9755l,why people once ate mellified man human corpses dipped in honey,0.99349993,0.7117903930131004,0.24716443,savedyouaclick,false,0.48332784
80,6vt7fo,firefighters save pigsthen eat them,0.9934752,0.7117903930131004,0.18129385,savedyouaclick,false,0.4813702
81,4q15ue,this rapper rallied to stop violence on baltimore streets an hour later he was shot and killed,0.99338216,0.7117903930131004,0.13705754,usanews,true,0.4625043
82,5er6so,angela lansbury has strong words for the beauty and the beast remake,0.99325377,0.7117903930131004,0.12883198,savedyouaclick,false,0.45931113
83,4n9qww,she thought she met will smith until she realized,0.99306804,0.7117903930131004,0.22326559,savedyouaclick,false,0.47959185
84,5lpaki,this is what george lucas thinks of rouge one,0.99296284,0.7117903930131004,0.25705948,savedyouaclick,false,0.48623848
85,10c49y,burmese lawmakers tried teaching themselves democracy using old episodes of the west wing,0.99284506,0.7117903930131004,0.15055293,nottheonion,true,0.46787336
86,8qn9ia,like a whole another world,0.9925515,0.7117903930131004,0.21834973,confusing_perspective,false,0.481612
87,516qcl,how to stop the train in gta iv single player mode,0.9925337,0.7117903930131004,0.23750232,savedyouaclick,false,0.48588744
88,6ifup6,did the simpsons predict the trump sisi and saudi king meeting years in advance,0.99252003,0.7117903930131004,0.37967482,savedyouaclick,false,0.4965545
89,4wzg3u,skydiving video man jumps from feet without a parachute,0.99249697,0.7117903930131004,0.12312115,savedyouaclick,false,0.47253108
90,1amjf7,virginia rapper attempts to sacrifice friend to join illuminati,0.99243116,0.7117903930131004,0.1845095,nottheonion,true,0.47261834
91,7b13jo,did an nfl player burn an american flag in a locker room,0.99229866,0.7117903930131004,0.18896167,savedyouaclick,false,0.4745762
92,5n0mjh,three tricky ways the japanese entertainment industry keeps idol singers from dating,0.99218845,0.7117903930131004,0.19992054,savedyouaclick,false,0.48000112
93,5uvjgq,secret meaning behind trash dove will make you think twice about posting it,0.99194145,0.7117903930131004,0.1995621,savedyouaclick,false,0.47300062
94,chq97w,now some families are hiring coaches to help them raise phonefree children screen consultants are here to help you remember life before smartphones and tablets spoiler get a dog,0.9919345,0.7117903930131004,0.2264987,usanews,true,0.48005
95,42xqbj,elementary school principal fatally hit by bus while saving students lives,0.99188614,0.7117903930131004,0.1683253,usanews,true,0.47500372
96,7biid8,pikachu does the unthinkable in pokemons new movie and its super weird,0.99183637,0.7117903930131004,0.34096938,savedyouaclick,false,0.49489495
97,cb8j0f,mine either,0.991797,0.7117903930131004,0.24676827,confusing_perspective,false,0.49489212
98,7y7efc,the coach,0.9915281,0.7117903930131004,0.19624007,confusing_perspective,false,0.4870083
99,4ivw16,cthulhu company kickstarted itself to death then this happened,0.9914629,0.7117903930131004,0.30506048,savedyouaclick,false,0.48699737
100,7kxiax,door to another dimension,0.9914239,0.7117903930131004,0.26953858,confusing_perspective,false,0.4894103
